ano_campeonato,time_mandante,time_visitante,gols_mandante,gols_visitante
2016,Flamengo,Figueirense FC,2,0
2016,Flamengo,Botafogo,0,0
2016,Flamengo,Santos,2,0
2016,Palmeiras,Athletico-PR,4,0
2016,Palmeiras,Fluminense,2,0
2016,Palmeiras,Corinthians,1,0
2016,Palmeiras,Santa Cruz,3,1
2016,Palmeiras,América-MG,2,0
2016,Palmeiras,Figueirense FC,4,0
2016,Palmeiras,Santos,1,1
2016,Palmeiras,Atlético-MG,0,1
2016,Palmeiras,EC Vitória,2,1
2016,Palmeiras,Ponte Preta,2,2
2016,Palmeiras,São Paulo,2,1
2016,Palmeiras,Flamengo,1,1
2016,Palmeiras,Coritiba FC,2,1
2016,Palmeiras,Cruzeiro,0,0
2016,Palmeiras,Internacional,1,0
2016,Palmeiras,Botafogo,1,0
2016,Palmeiras,Chapecoense,1,0
2016,Santos,Internacional,0,1
2016,Santos,Botafogo,3,0
2016,Santos,Sport Recife,2,0
2016,Santos,São Paulo,3,0
2016,Santos,Chapecoense,3,0
2016,Santos,Ponte Preta,3,1
2016,Santos,Cruzeiro,2,0
2016,Santos,Flamengo,0,0
2016,Santos,Atlético-MG,3,0
2016,Santos,Figueirense FC,0,1
2016,Santos,Santa Cruz,3,2
2016,Santos,Athletico-PR,2,0
2016,Santos,Fluminense,2,1
2016,Santos,Palmeiras,1,0
2016,Santos,EC Vitória,3,2
2016,Santos,América-MG,1,0
2016,Fluminense,Santa Cruz,2,2
2016,Fluminense,Botafogo,1,0
2016,Fluminense,Corinthians,1,0
2016,Fluminense,Coritiba FC,0,0
2016,Fluminense,Cruzeiro,2,0
2016,Fluminense,Ponte Preta,3,0
2016,Fluminense,Figueirense FC,3,2
2016,Fluminense,América-MG,1,0
2016,Fluminense,Chapecoense,1,2
2016,Fluminense,São Paulo,1,2
2016,Fluminense,Athletico-PR,1,1
2016,Fluminense,Internacional,1,1
2016,Santa Cruz,EC Vitória,4,1
2016,Santa Cruz,Cruzeiro,4,1
2016,Santa Cruz,Figueirense FC,1,0
2016,Santa Cruz,Internacional,1,0
2016,Santa Cruz,Coritiba FC,0,1
2016,Santa Cruz,Athletico-PR,1,0
2016,Santa Cruz,América-MG,1,0
2016,Santa Cruz,Grêmio,5,1
2016,São Paulo,Palmeiras,1,0
2016,São Paulo,Athletico-PR,1,2
2016,São Paulo,EC Vitória,2,0
2016,São Paulo,Sport Recife,0,0
2016,São Paulo,Fluminense,2,1
2016,São Paulo,América-MG,3,0
2016,São Paulo,Botafogo,0,1
2016,São Paulo,Coritiba FC,0,0
2016,São Paulo,Figueirense FC,3,1
2016,São Paulo,Cruzeiro,1,0
2016,São Paulo,Flamengo,0,0
2016,São Paulo,Santos,0,1
2016,São Paulo,Ponte Preta,2,0
2016,São Paulo,Corinthians,4,0
2016,São Paulo,Grêmio,1,1
2016,São Paulo,Santa Cruz,5,0
2016,América-MG,EC Vitória,1,1
2016,América-MG,Figueirense FC,1,0
2016,América-MG,Coritiba FC,2,1
2016,América-MG,Grêmio,0,0
2016,América-MG,Santos,1,0
2016,América-MG,Chapecoense,1,2
2016,América-MG,Internacional,1,0
2016,América-MG,Botafogo,1,0
2016,América-MG,Athletico-PR,1,0
2016,América-MG,São Paulo,1,0
2016,Chapecoense,Fluminense,0,0
2016,Chapecoense,Athletico-PR,0,0
2016,Chapecoense,Corinthians,0,2
2016,Chapecoense,Botafogo,2,1
2016,Chapecoense,Palmeiras,1,1
2016,Chapecoense,Internacional,1,0
2016,Chapecoense,Coritiba FC,1,0
2016,Chapecoense,Sport Recife,3,0
2016,Chapecoense,Figueirense FC,1,0
2016,Chapecoense,São Paulo,2,0
2016,Corinthians,Grêmio,0,0
2016,Corinthians,Ponte Preta,3,0
2016,Corinthians,Santos,1,0
2016,Corinthians,Santa Cruz,2,1
2016,Corinthians,Flamengo,4,0
2016,Corinthians,Figueirense FC,1,1
2016,Corinthians,Cruzeiro,1,1
2016,Corinthians,Sport Recife,3,0
2016,Corinthians,Fluminense,0,1
2016,Corinthians,Atlético-MG,0,0
2016,Corinthians,América-MG,2,0
2016,Corinthians,Chapecoense,1,1
2016,Corinthians,Internacional,1,0
2016,Corinthians,Athletico-PR,0,0
2016,Coritiba FC,Cruzeiro,1,0
2016,Coritiba FC,São Paulo,1,1
2016,Coritiba FC,Athletico-PR,1,0
2016,Coritiba FC,Botafogo,0,0
2016,Coritiba FC,Flamengo,0,2
2016,Coritiba FC,Santos,2,1
2016,Coritiba FC,Grêmio,4,0
2016,Coritiba FC,América-MG,3,0
2016,Coritiba FC,Figueirense FC,0,0
2016,Coritiba FC,Atlético-MG,2,0
2016,Coritiba FC,Santa Cruz,1,0
2016,EC Vitória,Internacional,1,0
2016,EC Vitória,Chapecoense,1,2
2016,EC Vitória,Fluminense,0,0
2016,EC Vitória,Coritiba FC,3,1
2016,EC Vitória,América-MG,2,1
2016,EC Vitória,São Paulo,2,0
2016,EC Vitória,Grêmio,0,1
2016,EC Vitória,Figueirense FC,4,0
2016,Ponte Preta,Palmeiras,2,1
2016,Ponte Preta,Chapecoense,2,1
2016,Ponte Preta,São Paulo,1,0
2016,Ponte Preta,Botafogo,2,0
2016,Ponte Preta,Figueirense FC,2,0
2016,Ponte Preta,Corinthians,2,0
2016,Ponte Preta,América-MG,1,1
2016,Ponte Preta,Grêmio,3,0
2016,Ponte Preta,EC Vitória,2,0
2016,Ponte Preta,Santa Cruz,3,0
2016,Ponte Preta,Santos,1,2
2016,Ponte Preta,Fluminense,1,0
2016,Ponte Preta,Coritiba FC,2,0
2016,Atlético-MG,Santos,1,0
2016,Atlético-MG,Ponte Preta,3,0
2016,Atlético-MG,Corinthians,2,1
2016,Atlético-MG,Botafogo,5,3
2016,Atlético-MG,Coritiba FC,2,1
2016,Atlético-MG,Santa Cruz,3,0
2016,Atlético-MG,Chapecoense,3,1
2016,Atlético-MG,Athletico-PR,1,0
2016,Atlético-MG,EC Vitória,2,1
2016,Atlético-MG,Sport Recife,1,0
2016,Atlético-MG,América-MG,3,0
2016,Atlético-MG,Figueirense FC,3,0
2016,Athletico-PR,Atlético-MG,1,1
2016,Athletico-PR,Figueirense FC,2,1
2016,Athletico-PR,Santa Cruz,1,0
2016,Athletico-PR,Santos,1,0
2016,Athletico-PR,Grêmio,2,0
2016,Athletico-PR,América-MG,1,0
2016,Athletico-PR,EC Vitória,1,1
2016,Athletico-PR,Fluminense,1,0
2016,Athletico-PR,Corinthians,2,0
2016,Athletico-PR,Botafogo,1,0
2016,Athletico-PR,São Paulo,1,0
2016,Athletico-PR,Ponte Preta,3,0
2016,Athletico-PR,Coritiba FC,2,0
2016,Athletico-PR,Cruzeiro,1,0
2016,Athletico-PR,Sport Recife,2,0
2016,Athletico-PR,Flamengo,0,0
2016,Sport Recife,Corinthians,0,2
2016,Sport Recife,Fluminense,2,1
2016,Sport Recife,Chapecoense,5,1
2016,Sport Recife,Grêmio,4,2
2016,Sport Recife,Athletico-PR,2,0
2016,Sport Recife,Flamengo,1,0
2016,Sport Recife,Santos,1,0
2016,Sport Recife,EC Vitória,1,0
2016,Sport Recife,Ponte Preta,1,0
2016,Sport Recife,Figueirense FC,2,0
2016,Internacional,Chapecoense,0,0
2016,Internacional,Sport Recife,1,0
2016,Internacional,Athletico-PR,1,0
2016,Internacional,Atlético-MG,2,0
2016,Internacional,EC Vitória,0,1
2016,Internacional,Figueirense FC,1,0
2016,Internacional,Coritiba FC,1,0
2016,Internacional,Ponte Preta,1,1
2016,Internacional,Cruzeiro,1,0
2016,Figueirense FC,Ponte Preta,0,0
2016,Figueirense FC,São Paulo,1,0
2016,Figueirense FC,Flamengo,1,0
2016,Figueirense FC,Internacional,3,2
2016,Figueirense FC,Coritiba FC,0,0
2016,Figueirense FC,Chapecoense,1,1
2016,Figueirense FC,EC Vitória,1,0
2016,Figueirense FC,Sport Recife,1,1
2016,Figueirense FC,Athletico-PR,1,0
2016,Figueirense FC,Santa Cruz,3,1
2016,Figueirense FC,Botafogo,0,1
2016,Figueirense FC,Palmeiras,1,2
2016,Figueirense FC,Grêmio,0,0
2016,Figueirense FC,Fluminense,1,0
2016,Grêmio,Fluminense,0,1
2016,Grêmio,Sport Recife,0,3
2016,Grêmio,Botafogo,0,1
2016,Botafogo,São Paulo,0,1
2016,Botafogo,Cruzeiro,0,1
2016,Botafogo,Flamengo,3,3
2016,Botafogo,Chapecoense,0,2
2016,Cruzeiro,Figueirense FC,2,2
2016,Cruzeiro,América-MG,1,1
2016,Cruzeiro,São Paulo,0,1
2016,Cruzeiro,Flamengo,0,1
2016,Cruzeiro,Palmeiras,2,1
2016,Cruzeiro,Sport Recife,1,2
2016,Cruzeiro,Internacional,4,2
2016,Cruzeiro,Atlético-MG,1,1
2016,Cruzeiro,Fluminense,4,2
2016,Cruzeiro,Corinthians,3,2
2016,Flamengo,Chapecoense,2,2
2016,Flamengo,Palmeiras,1,2
2016,Flamengo,São Paulo,2,2
2016,Flamengo,Coritiba FC,2,2
2016,Palmeiras,Grêmio,4,3
2016,Palmeiras,Sport Recife,2,1
2016,Santos,Coritiba FC,2,1
2016,Santos,Corinthians,2,1
2016,Santos,Grêmio,1,1
2016,Fluminense,Grêmio,1,1
2016,Fluminense,Atlético-MG,4,2
2016,Fluminense,Sport Recife,3,1
2016,Fluminense,EC Vitória,2,2
2016,Santa Cruz,Sport Recife,0,1
2016,Santa Cruz,Santos,0,2
2016,Santa Cruz,Flamengo,0,1
2016,Santa Cruz,São Paulo,1,2
2016,Santa Cruz,Fluminense,0,1
2016,Santa Cruz,Chapecoense,2,2
2016,Santa Cruz,Palmeiras,2,3
2016,Santa Cruz,Corinthians,2,4
2016,Santa Cruz,Botafogo,0,1
2016,Santa Cruz,Atlético-MG,3,3
2016,São Paulo,Internacional,1,2
2016,América-MG,Fluminense,0,1
2016,América-MG,Atlético-MG,0,1
2016,América-MG,Corinthians,0,2
2016,América-MG,Cruzeiro,0,2
2016,América-MG,Palmeiras,0,2
2016,América-MG,Flamengo,0,1
2016,América-MG,Sport Recife,2,2
2016,Chapecoense,América-MG,3,1
2016,Chapecoense,Santa Cruz,1,1
2016,Chapecoense,Cruzeiro,3,2
2016,Chapecoense,Flamengo,1,3
2016,Chapecoense,Ponte Preta,2,2
2016,Chapecoense,Santos,0,1
2016,Corinthians,Coritiba FC,2,1
2016,Corinthians,Botafogo,3,1
2016,Corinthians,São Paulo,1,1
2016,Corinthians,EC Vitória,2,1
2016,Corinthians,Palmeiras,0,2
2016,Coritiba FC,Sport Recife,3,2
2016,Coritiba FC,Palmeiras,2,2
2016,Coritiba FC,Internacional,1,1
2016,Coritiba FC,Ponte Preta,3,1
2016,Coritiba FC,Corinthians,1,1
2016,Coritiba FC,Fluminense,1,1
2016,Coritiba FC,EC Vitória,0,1
2016,EC Vitória,Atlético-MG,1,1
2016,EC Vitória,Ponte Preta,1,1
2016,EC Vitória,Sport Recife,3,2
2016,EC Vitória,Santa Cruz,2,2
2016,EC Vitória,Flamengo,1,2
2016,EC Vitória,Botafogo,0,1
2016,EC Vitória,Cruzeiro,0,1
2016,Ponte Preta,Athletico-PR,3,2
2016,Ponte Preta,Sport Recife,2,1
2016,Ponte Preta,Internacional,2,2
2016,Atlético-MG,Fluminense,1,1
2016,Atlético-MG,Cruzeiro,2,3
2016,Atlético-MG,Internacional,3,1
2016,Atlético-MG,Flamengo,2,2
2016,Atlético-MG,Palmeiras,1,1
2016,Atlético-MG,São Paulo,1,2
2016,Athletico-PR,Palmeiras,0,1
2016,Athletico-PR,Internacional,2,1
2016,Athletico-PR,Chapecoense,3,1
2016,Sport Recife,Botafogo,1,1
2016,Sport Recife,Palmeiras,1,3
2016,Sport Recife,América-MG,1,1
2016,Sport Recife,Internacional,1,1
2016,Sport Recife,Santa Cruz,5,3
2016,Sport Recife,Coritiba FC,0,1
2016,Sport Recife,São Paulo,1,1
2016,Sport Recife,Cruzeiro,0,1
2016,Internacional,América-MG,3,1
2016,Internacional,Grêmio,0,1
2016,Internacional,Palmeiras,0,1
2016,Internacional,Corinthians,0,1
2016,Internacional,Fluminense,2,2
2016,Internacional,São Paulo,1,1
2016,Internacional,Santos,2,1
2016,Internacional,Santa Cruz,1,1
2016,Figueirense FC,Santos,2,2
2016,Figueirense FC,Atlético-MG,1,1
2016,Figueirense FC,Cruzeiro,1,2
2016,Figueirense FC,América-MG,2,2
2016,Figueirense FC,Corinthians,1,1
2016,Grêmio,EC Vitória,1,2
2016,Cruzeiro,Coritiba FC,2,2
2016,Fluminense,Santos,2,4
2016,Fluminense,Palmeiras,0,2
2016,Santa Cruz,Ponte Preta,0,3
2016,São Paulo,Chapecoense,2,2
2016,São Paulo,Atlético-MG,1,2
2016,América-MG,Ponte Preta,1,2
2016,América-MG,Santa Cruz,0,3
2016,Chapecoense,Grêmio,3,3
2016,Coritiba FC,Chapecoense,3,4
2016,EC Vitória,Corinthians,3,2
2016,EC Vitória,Santos,2,3
2016,EC Vitória,Athletico-PR,3,2
2016,EC Vitória,Palmeiras,1,2
2016,Ponte Preta,Flamengo,1,2
2016,Ponte Preta,Cruzeiro,0,4
2016,Ponte Preta,Atlético-MG,1,2
2016,Internacional,Botafogo,2,3
2016,Atlético-MG,Grêmio,0,3
2016,Chapecoense,EC Vitória,1,4
2016,Sport Recife,Atlético-MG,4,4
2015,Grêmio,Ponte Preta,3,3
2015,Grêmio,Figueirense FC,1,0
2015,Grêmio,Corinthians,3,1
2015,Grêmio,Athletico-PR,2,1
2015,Grêmio,Palmeiras,1,0
2015,Grêmio,Cruzeiro,1,0
2015,Grêmio,Vasco da Gama,2,0
2015,Grêmio,Sport Recife,1,1
2015,Grêmio,Internacional,5,0
2015,Grêmio,Joinville-SC,2,1
2015,Grêmio,Coritiba FC,0,0
2015,Grêmio,Goiás,2,1
2015,Grêmio,São Paulo,1,2
2015,Grêmio,Avaí FC,3,1
2015,Grêmio,Santos,1,0
2015,Grêmio,Chapecoense,2,3
2015,Grêmio,Flamengo,2,0
2015,Grêmio,Fluminense,1,0
2015,Grêmio,Atlético-MG,2,1
2015,Avaí FC,Santos,1,1
2015,Avaí FC,Flamengo,2,1
2015,Avaí FC,Atlético-MG,1,4
2015,Avaí FC,Figueirense FC,1,1
2015,Avaí FC,Grêmio,1,2
2015,Avaí FC,Sport Recife,2,2
2015,Avaí FC,Chapecoense,2,1
2015,Avaí FC,Athletico-PR,1,2
2015,Avaí FC,Fluminense,1,0
2015,Avaí FC,Corinthians,1,2
2015,Avaí FC,Internacional,3,0
2015,Avaí FC,Coritiba FC,0,2
2015,Avaí FC,Goiás,2,1
2015,Avaí FC,São Paulo,2,1
2015,Avaí FC,Vasco da Gama,1,1
2015,Avaí FC,Palmeiras,1,3
2015,Avaí FC,Cruzeiro,1,1
2015,Avaí FC,Joinville-SC,2,1
2015,Avaí FC,Ponte Preta,1,0
2015,Cruzeiro,Corinthians,0,1
2015,Cruzeiro,Ponte Preta,1,1
2015,Cruzeiro,Flamengo,1,0
2015,Cruzeiro,Chapecoense,0,1
2015,Cruzeiro,Athletico-PR,2,0
2015,Cruzeiro,Goiás,1,0
2015,Cruzeiro,Avaí FC,1,1
2015,Cruzeiro,Palmeiras,2,1
2015,Cruzeiro,Internacional,0,0
2015,Cruzeiro,Santos,0,1
2015,Cruzeiro,Figueirense FC,5,1
2015,Cruzeiro,Atlético-MG,1,1
2015,Cruzeiro,Vasco da Gama,2,2
2015,Cruzeiro,Coritiba FC,2,0
2015,Cruzeiro,Grêmio,0,0
2015,Cruzeiro,Fluminense,2,0
2015,Cruzeiro,São Paulo,2,1
2015,Cruzeiro,Sport Recife,3,0
2015,Cruzeiro,Joinville-SC,3,0
2015,Flamengo,Sport Recife,2,2
2015,Flamengo,Fluminense,2,3
2015,Flamengo,Chapecoense,1,0
2015,Flamengo,Atlético-MG,0,2
2015,Flamengo,Figueirense FC,1,2
2015,Flamengo,Corinthians,0,3
2015,Flamengo,Grêmio,1,0
2015,Flamengo,Santos,2,2
2015,Flamengo,Athletico-PR,3,2
2015,Flamengo,São Paulo,2,1
2015,Flamengo,Avaí FC,3,0
2015,Flamengo,Cruzeiro,2,0
2015,Flamengo,Coritiba FC,0,2
2015,Flamengo,Vasco da Gama,1,2
2015,Flamengo,Joinville-SC,2,0
2015,Flamengo,Internacional,0,1
2015,Flamengo,Goiás,4,1
2015,Flamengo,Ponte Preta,1,1
2015,Flamengo,Palmeiras,1,2
2015,Goiás,Athletico-PR,2,0
2015,Goiás,Grêmio,1,1
2015,Goiás,Avaí FC,0,1
2015,Goiás,Fluminense,1,2
2015,Goiás,Corinthians,0,0
2015,Goiás,Santos,4,1
2015,Goiás,Flamengo,0,1
2015,Goiás,Atlético-MG,0,0
2015,Goiás,Chapecoense,0,0
2015,Goiás,Vasco da Gama,3,0
2015,Goiás,Palmeiras,1,0
2015,Goiás,Sport Recife,1,0
2015,Goiás,Ponte Preta,1,2
2015,Goiás,Joinville-SC,3,0
2015,Goiás,Figueirense FC,2,3
2015,Goiás,Cruzeiro,0,1
2015,Goiás,Internacional,2,1
2015,Goiás,Coritiba FC,1,3
2015,Goiás,São Paulo,0,1
2015,Palmeiras,Atlético-MG,2,2
2015,Palmeiras,Goiás,0,1
2015,Palmeiras,Internacional,1,1
2015,Palmeiras,Fluminense,2,1
2015,Palmeiras,São Paulo,4,0
2015,Palmeiras,Chapecoense,2,0
2015,Palmeiras,Avaí FC,3,0
2015,Palmeiras,Santos,1,0
2015,Palmeiras,Athletico-PR,0,1
2015,Palmeiras,Flamengo,4,2
2015,Palmeiras,Joinville-SC,3,2
2015,Palmeiras,Corinthians,3,3
2015,Palmeiras,Figueirense FC,2,0
2015,Palmeiras,Grêmio,3,2
2015,Palmeiras,Ponte Preta,0,1
2015,Palmeiras,Sport Recife,0,2
2015,Palmeiras,Vasco da Gama,0,2
2015,Palmeiras,Cruzeiro,1,1
2015,Palmeiras,Coritiba FC,0,2
2015,Santos,Cruzeiro,1,0
2015,Santos,Sport Recife,2,2
2015,Santos,Ponte Preta,2,2
2015,Santos,Corinthians,1,0
2015,Santos,Grêmio,1,3
2015,Santos,Figueirense FC,3,0
2015,Santos,Joinville-SC,2,0
2015,Santos,Coritiba FC,3,0
2015,Santos,Vasco da Gama,1,0
2015,Santos,Avaí FC,5,2
2015,Santos,Chapecoense,3,1
2015,Santos,São Paulo,3,0
2015,Santos,Atlético-MG,4,0
2015,Santos,Internacional,3,1
2015,Santos,Fluminense,3,1
2015,Santos,Goiás,3,1
2015,Santos,Palmeiras,2,1
2015,Santos,Flamengo,0,0
2015,Santos,Athletico-PR,5,1
2015,Fluminense,Joinville-SC,1,0
2015,Fluminense,Corinthians,0,0
2015,Fluminense,Coritiba FC,2,0
2015,Fluminense,Sport Recife,0,0
2015,Fluminense,Ponte Preta,2,0
2015,Fluminense,Santos,2,1
2015,Fluminense,Cruzeiro,1,0
2015,Fluminense,Vasco da Gama,1,2
2015,Fluminense,Grêmio,1,0
2015,Fluminense,Figueirense FC,2,1
2015,Fluminense,Atlético-MG,1,2
2015,Fluminense,Flamengo,1,3
2015,Fluminense,Palmeiras,1,4
2015,Fluminense,Goiás,2,0
2015,Fluminense,São Paulo,2,0
2015,Fluminense,Athletico-PR,0,1
2015,Fluminense,Chapecoense,2,3
2015,Fluminense,Avaí FC,3,1
2015,Fluminense,Internacional,1,1
2015,São Paulo,Flamengo,2,1
2015,São Paulo,Joinville-SC,3,0
2015,São Paulo,Santos,3,2
2015,São Paulo,Grêmio,2,0
2015,São Paulo,Avaí FC,1,1
2015,São Paulo,Fluminense,0,0
2015,São Paulo,Coritiba FC,3,1
2015,São Paulo,Cruzeiro,1,0
2015,São Paulo,Corinthians,1,1
2015,São Paulo,Goiás,0,3
2015,São Paulo,Ponte Preta,3,0
2015,São Paulo,Internacional,2,0
2015,São Paulo,Chapecoense,0,0
2015,São Paulo,Palmeiras,1,1
2015,São Paulo,Athletico-PR,1,0
2015,São Paulo,Vasco da Gama,2,2
2015,São Paulo,Sport Recife,3,0
2015,São Paulo,Atlético-MG,4,2
2015,São Paulo,Figueirense FC,3,2
2015,Chapecoense,Coritiba FC,2,1
2015,Chapecoense,Santos,1,0
2015,Chapecoense,Joinville-SC,2,0
2015,Chapecoense,São Paulo,0,1
2015,Chapecoense,Sport Recife,1,1
2015,Chapecoense,Vasco da Gama,1,0
2015,Chapecoense,Grêmio,1,0
2015,Chapecoense,Fluminense,2,1
2015,Chapecoense,Figueirense FC,2,2
2015,Chapecoense,Atlético-MG,2,1
2015,Chapecoense,Corinthians,1,3
2015,Chapecoense,Ponte Preta,0,0
2015,Chapecoense,Flamengo,1,3
2015,Chapecoense,Cruzeiro,0,2
2015,Chapecoense,Palmeiras,5,1
2015,Chapecoense,Avaí FC,0,0
2015,Chapecoense,Athletico-PR,0,0
2015,Chapecoense,Internacional,1,0
2015,Chapecoense,Goiás,1,3
2015,Corinthians,Chapecoense,1,0
2015,Corinthians,Palmeiras,0,2
2015,Corinthians,Internacional,2,1
2015,Corinthians,Figueirense FC,2,1
2015,Corinthians,Ponte Preta,2,0
2015,Corinthians,Athletico-PR,2,0
2015,Corinthians,Atlético-MG,1,0
2015,Corinthians,Vasco da Gama,3,0
2015,Corinthians,Sport Recife,4,3
2015,Corinthians,Cruzeiro,3,0
2015,Corinthians,Fluminense,2,0
2015,Corinthians,Grêmio,1,1
2015,Corinthians,Joinville-SC,3,0
2015,Corinthians,Santos,2,0
2015,Corinthians,Goiás,3,0
2015,Corinthians,Flamengo,1,0
2015,Corinthians,Coritiba FC,2,1
2015,Corinthians,São Paulo,6,1
2015,Corinthians,Avaí FC,1,1
2015,Coritiba FC,Grêmio,2,0
2015,Coritiba FC,Avaí FC,1,2
2015,Coritiba FC,Flamengo,0,1
2015,Coritiba FC,Cruzeiro,1,0
2015,Coritiba FC,Joinville-SC,0,0
2015,Coritiba FC,Ponte Preta,0,0
2015,Coritiba FC,Corinthians,1,1
2015,Coritiba FC,Goiás,1,1
2015,Coritiba FC,Palmeiras,2,1
2015,Coritiba FC,Chapecoense,1,0
2015,Coritiba FC,Sport Recife,0,0
2015,Coritiba FC,Fluminense,1,1
2015,Coritiba FC,Internacional,0,1
2015,Coritiba FC,Athletico-PR,2,0
2015,Coritiba FC,Atlético-MG,0,3
2015,Coritiba FC,São Paulo,1,2
2015,Coritiba FC,Figueirense FC,1,1
2015,Coritiba FC,Santos,1,0
2015,Coritiba FC,Vasco da Gama,0,0
2015,Ponte Preta,São Paulo,1,0
2015,Ponte Preta,Chapecoense,3,1
2015,Ponte Preta,Goiás,0,0
2015,Ponte Preta,Athletico-PR,2,1
2015,Ponte Preta,Palmeiras,0,2
2015,Ponte Preta,Atlético-MG,0,2
2015,Ponte Preta,Internacional,0,0
2015,Ponte Preta,Flamengo,1,0
2015,Ponte Preta,Avaí FC,2,0
2015,Ponte Preta,Grêmio,0,0
2015,Ponte Preta,Cruzeiro,1,2
2015,Ponte Preta,Vasco da Gama,0,1
2015,Ponte Preta,Santos,3,1
2015,Ponte Preta,Fluminense,3,1
2015,Ponte Preta,Corinthians,2,2
2015,Ponte Preta,Coritiba FC,3,0
2015,Ponte Preta,Joinville-SC,1,0
2015,Ponte Preta,Figueirense FC,0,1
2015,Ponte Preta,Sport Recife,0,1
2015,Atlético-MG,Fluminense,4,1
2015,Atlético-MG,Vasco da Gama,3,0
2015,Atlético-MG,Cruzeiro,1,3
2015,Atlético-MG,Santos,2,2
2015,Atlético-MG,Joinville-SC,1,0
2015,Atlético-MG,Coritiba FC,2,0
2015,Atlético-MG,Sport Recife,2,1
2015,Atlético-MG,Figueirense FC,1,0
2015,Atlético-MG,São Paulo,3,1
2015,Atlético-MG,Grêmio,0,2
2015,Atlético-MG,Palmeiras,2,1
2015,Atlético-MG,Athletico-PR,0,1
2015,Atlético-MG,Avaí FC,2,0
2015,Atlético-MG,Flamengo,4,1
2015,Atlético-MG,Internacional,2,1
2015,Atlético-MG,Ponte Preta,2,1
2015,Atlético-MG,Corinthians,0,3
2015,Atlético-MG,Goiás,2,2
2015,Atlético-MG,Chapecoense,3,0
2015,Athletico-PR,Internacional,3,0
2015,Athletico-PR,Atlético-MG,1,0
2015,Athletico-PR,Figueirense FC,1,0
2015,Athletico-PR,Vasco da Gama,2,0
2015,Athletico-PR,Coritiba FC,2,2
2015,Athletico-PR,São Paulo,2,1
2015,Athletico-PR,Fluminense,1,2
2015,Athletico-PR,Chapecoense,1,0
2015,Athletico-PR,Sport Recife,1,1
2015,Athletico-PR,Santos,0,0
2015,Athletico-PR,Goiás,3,0
2015,Athletico-PR,Joinville-SC,0,0
2015,Athletico-PR,Grêmio,1,2
2015,Athletico-PR,Ponte Preta,1,2
2015,Athletico-PR,Cruzeiro,2,2
2015,Athletico-PR,Corinthians,1,4
2015,Athletico-PR,Avaí FC,2,1
2015,Athletico-PR,Palmeiras,3,3
2015,Athletico-PR,Flamengo,3,0
2015,Joinville-SC,Palmeiras,0,0
2015,Joinville-SC,Athletico-PR,1,2
2015,Joinville-SC,Corinthians,0,1
2015,Joinville-SC,Goiás,2,1
2015,Joinville-SC,Flamengo,0,1
2015,Joinville-SC,Internacional,0,2
2015,Joinville-SC,Ponte Preta,1,1
2015,Joinville-SC,Avaí FC,2,0
2015,Joinville-SC,Cruzeiro,3,0
2015,Joinville-SC,Fluminense,2,1
2015,Joinville-SC,São Paulo,0,0
2015,Joinville-SC,Chapecoense,0,0
2015,Joinville-SC,Sport Recife,1,1
2015,Joinville-SC,Atlético-MG,2,2
2015,Joinville-SC,Coritiba FC,3,1
2015,Joinville-SC,Figueirense FC,1,0
